title,type,info,meal_plans
detoxifying,moms,"[[13459.25, 325.95, 694.3, 1468.1, 52.775, 260, 99], [13760.75, 320.75, 743.0, 1440.65, 54.765, 510, 119], [14588.0, 365.05, 624.8, 1886.6, 57.3375, 860, 93], [14912.0, 365.625, 736.95, 1716.325, 56.495, 930, 166], [13898.5, 259.2, 696.8, 1698.3, 38.3775, 1070, 95], [14423.0, 390.85, 651.15, 1781.95, 53.5675, 505, 104], [14864.0, 528.75, 779.95, 1409.5, 68.6575, 1220, 96], [13806.25, 206.35, 662.5, 1777.45, 32.86, 830, 162], [13255.75, 311.975, 739.5, 1316.075, 55.8425, 735, 132], [14645.5, 219.95, 753.4, 1837.65, 31.5225, 440, 116], [14195.75, 390.35, 676.05, 1606.8, 62.135, 800, 143], [14792.5, 187.95, 654.25, 2116.1, 26.2125, 665, 176], [14942.0, 383.125, 642.1, 1939.025, 64.315, 1225, 165], [13415.0, 108.95, 715.95, 1735.9, 21.7875, 390, 171], [14432.0, 181.9, 735.35, 1811.05, 28.0375, 1040, 164], [14067.25, 234.75, 523.05, 2102.75, 41.55, 1270, 158], [14794.5, 287.4, 790.1, 1662.05, 41.9875, 300, 124], [13151.0, 93.75, 712.95, 1665.25, 15.7825, 445, 226], [13519.5, 248.7, 590.7, 1911.35, 38.9825, 835, 175], [13266.0, 185.35, 603.55, 1847.05, 30.5125, 810, 153]]","['deliciously unexpected delights', 'the sweet and spicy fusion plan', 'the sweet and sour supper spectacular!', 'sweet and savory sensations!', 'the sweet and savory stew-fest!', 'caramel-covered fiesta fiesta!', 'caramel-covered fiesta fiesta fiesta!', 'caramel-covered fiesta fiesta frenzy!', 'carmel and some fun', 'something else', 'micahs mealplan', 'caramel-covered fiesta fiesta fiesta frenzy!', 'sweet & savory sensations', 'the sweet and savory delight plan', 'the sweet and savory smorgasbord!', 'the eclectic epicurean adventure!', 'the sweet and sour sensation', 'the sweet and savory fiesta!', 'the rainbow of flavors meal plan', 'sweet and savory spice sensation']"
eggcellent recipes,moms,"[[14281.25, 383.3, 1043.275, 900.75, 22.9575, 1178, 58], [13800.75, 310.085, 779.37, 1389.055, 30.8675, 420, 67], [14592.25, 394.35, 951.75, 1044.2, 31.66, 1065, 66], [13818.25, 400.05, 907.025, 948.875, 32.205, 1515, 32], [13341.5, 382.875, 775.225, 1129.25, 17.8175, 300, 34], [14126.5, 487.05, 881.3, 1048.95, 41.9625, 906, 39], [13548.25, 471.55, 951.725, 748.3, 33.57, 332, 58], [13859.25, 429.0, 1097.4, 535.15, 31.195, 805, 43], [14222.85, 359.5, 1040.45, 834.7, 26.9275, 1115, 71], [13408.0, 532.125, 1125.725, 298.375, 38.6525, 406, 44], [13994.0, 390.545, 656.99, 1629.51, 28.0975, 420, 90], [13691.25, 388.4, 884.975, 1061.55, 31.2625, 425, 48], [13100.5, 330.075, 904.8, 828.575, 27.34, 295, 58], [13151.0, 359.255, 800.135, 1139.44, 20.8625, 255, 44], [14226.5, 451.425, 813.375, 1323.55, 34.455, 1055, 61], [13981.35, 476.9, 874.275, 925.325, 35.0875, 610, 60], [14200.25, 345.35, 1007.375, 927.575, 27.7475, 1110, 58], [14163.5, 561.175, 796.5, 1169.3, 46.235, 463, 59], [14350.75, 328.525, 867.2, 1312.8, 27.51, 536, 53], [13995.5, 622.225, 1058.1, 482.8, 37.57, 265, 30]]","['the fiesta fusion feast!', 'feast of the four seasons!', 'tater tot temptations!', 'the eclectic egg extravaganza!', 'feast of the fluffy fiery and fabulous!', 'brunch bonanza!', 'the savory snack-tacular!', 'the egg-cellent adventure meal plan', 'global potato palooza!', 'egg-cellent extravaganza!', 'tasteful treats and savory surprises!', 'the eclectic brunch extravaganza!', 'the unconventional epicurean adventure!', 'the savory spinach surprise!', 'merry brunch fiesta!', 'german apple pancake fiesta fiesta!', 'the island brunch platter', 'the international brunch bonanza!', ""grandma's comfort fusion!"", 'the brunch-o-rama!']"
european,moms,"[[13106.5, 560.7, 653.8, 1077.3, 68.3525, 502, 30], [13765.5, 605.3, 819.85, 802.2, 71.29, 445, 76], [13523.0, 369.7, 690.75, 1382.6, 31.8225, 507, 82], [13090.0, 439.05, 565.65, 1509.1, 43.1275, 532, 37], [13371.5, 342.2, 599.85, 1657.6, 31.11, 422, 71], [13371.5, 342.2, 599.85, 1657.6, 31.11, 422, 71], [13051.0, 583.7, 638.3, 1102.95, 69.735, 482, 31], [13516.0, 513.65, 563.55, 1538.85, 42.895, 522, 39], [13821.0, 653.8, 797.3, 805.05, 71.4925, 570, 76], [14913.5, 654.8, 853.4, 980.25, 73.6025, 560, 80], [13630.0, 548.4, 797.45, 888.35, 68.0575, 435, 72], [13149.0, 566.7, 632.0, 1144.2, 70.0375, 562, 37], [13371.5, 342.2, 599.85, 1657.6, 31.11, 422, 71], [14106.0, 650.0, 687.7, 1152.45, 74.145, 572, 37], [13313.0, 542.9, 623.1, 1265.0, 67.155, 502, 35], [13949.5, 715.45, 670.5, 1128.25, 80.5675, 565, 37], [13145.5, 487.55, 543.1, 1511.95, 43.33, 657, 37], [14913.5, 654.8, 853.4, 980.25, 73.6025, 560, 80], [13152.5, 343.6, 670.3, 1355.7, 32.2575, 642, 80], [13562.5, 376.1, 637.75, 1545.8, 32.96, 452, 74]]","['scandinavian comfort food fiesta!', 'global comfort cuisine', 'scandinavian fusion feast', 'the international feast of comfort food!', 'the great european feast!', 'the european comfort food extravaganza!', 'the international feast of flavors!', 'the european fusion feast!', 'the euro-fusion feast!', 'european fusion cuisine', 'scandinavian-celtic fusion feast', 'the eastern european extravaganza!', 'the international potato fiesta!', 'the international feast of comfort foods', 'norwegian waffle fiesta fiesta!', 'the international potluck platter!', 'the international feast of deliciousness!', 'the nordic-hungarian fusion feast!', 'the scandi-hungarian fusion feast!', 'the international feast of flavors']"
family-friendly,moms,"[[14182.5, 566.575, 718.4, 1310.875, 45.9375, 775, 63], [13869.25, 583.45, 795.0, 1026.25, 40.885, 550, 48], [14111.5, 377.5, 520.3, 1994.0, 35.8775, 1044, 83], [13691.25, 824.4, 826.275, 497.525, 59.255, 650, 71], [13650.5, 257.025, 912.725, 1176.2, 25.5225, 645, 72], [13299.25, 479.325, 922.325, 814.925, 43.72, 710, 62], [13421.5, 540.5, 998.85, 418.3, 56.065, 715, 55], [14332.5, 447.825, 562.05, 1868.775, 32.4425, 1675, 66], [13685.25, 710.675, 821.0, 696.1, 56.47, 925, 36], [14461.0, 459.425, 1139.225, 568.55, 37.56, 436, 60], [13906.25, 553.875, 979.25, 582.85, 39.84, 355, 43], [14347.5, 319.425, 959.35, 1125.575, 35.695, 366, 49], [14947.0, 303.0, 1023.025, 1162.225, 32.925, 670, 58], [13095.5, 229.125, 741.35, 1385.35, 26.7375, 255, 72], [14432.75, 660.75, 969.25, 720.5, 55.9575, 355, 68], [13111.0, 379.4, 731.85, 1214.0, 29.635, 345, 56], [14699.1, 529.225, 861.275, 1125.5, 43.13, 1240, 53], [13269.5, 326.025, 494.25, 1867.825, 37.9975, 878, 98], [13796.0, 614.725, 762.225, 781.95, 53.43, 862, 45], [13641.75, 579.075, 759.875, 1064.875, 45.2275, 1495, 79]]","['the italian-american fusion feast!', 'tastes of the south fiesta!', 'autumnal aromas and tastes', 'the aromatic a-list: quiche florentine chef johns corn tortillas rachels cranberry chicken salad simply egg salad rosemary braised lamb shanks poochie meat cakes and gar', 'the great potato extravaganza!', 'the sweet and savory fiesta!', 'the eclectic brunch spread!', ""grandma's global gourmet"", 'the brunchy brunch-fest!', 'peanut butter cookie fiesta fiesta!', 'savory spinach and cheese quiche fiesta!', 'fiesta fiesta pannekaken pancake party!', 'cinnamon roll fiesta fiesta!', 'tropical fiesta fusion!', 'the breakfast bonanza!', 'the unconventional epicurean adventure!', 'feast of the far-flung flavors', 'tropical taste adventure!', 'the great gastronomic adventure!', 'the variety platter']"
french,moms,"[[14057.5, 487.7, 894.05, 970.9, 62.5575, 1177, 53], [14230.5, 572.95, 692.4, 1305.675, 100.75, 825, 39], [14784.75, 440.65, 760.05, 1513.325, 38.6625, 1135, 32], [13812.0, 609.55, 971.3, 605.75, 41.765, 577, 40], [14098.5, 866.15, 868.0, 436.65, 98.9525, 590, 35], [13461.0, 541.95, 512.0, 1607.575, 40.9625, 1265, 44], [13036.75, 350.175, 903.575, 858.225, 39.2475, 708, 50], [14971.75, 572.675, 966.725, 899.725, 52.105, 1840, 52], [13494.0, 239.925, 726.6, 1534.15, 23.4375, 710, 45], [14407.25, 473.6, 962.3, 897.625, 49.1875, 1302, 49], [14227.75, 382.65, 742.25, 1454.8, 43.69, 783, 76], [13823.25, 663.475, 791.0, 923.9, 92.6925, 720, 81], [13696.0, 238.65, 595.4, 1831.85, 20.0675, 910, 40], [14542.0, 509.1, 669.6, 1530.05, 46.4325, 1418, 49], [13885.25, 542.65, 1023.55, 531.975, 54.6975, 1257, 44], [13433.5, 499.525, 752.05, 1125.925, 67.455, 492, 45], [14701.0, 428.65, 710.45, 1603.275, 90.485, 885, 80], [13719.25, 309.6, 697.9, 1557.125, 32.185, 845, 66], [14528.5, 674.175, 831.375, 946.45, 75.635, 1835, 58], [14325.75, 726.2, 804.725, 968.8, 98.605, 1230, 61]]","['gastronomic gala of french fare', 'gourmet french fusion feast', 'the holiday brunch bonanza!', 'rosemary lamb and apple delight', 'savory and sweet supper spectacular!', 'a taste of france: french toast lamb shanks country bread plum torte and lobster bisque.', 'the epicurean delight!', 'the french-canadian fusion feast!', 'gourmet gala of french delights', 'the epicurean odyssey', 'taste of the big easy', 'the savory symphony of lamb', 'mountain munchies', 'the ski and waffle extravaganza!', 'fiesta french toast brioche bonanza!', 'sweet french toast fiesta fiesta!', 'choux pastry fiesta fiesta!', 'festive french fry feast!', 'gourmet french fusion feast', 'the french fusion feast!']"
german,moms,"[[13929.0, 558.4, 632.65, 1411.3, 53.7425, 560, 41], [13476.75, 631.65, 670.325, 1018.125, 49.295, 1190, 41], [13301.0, 511.9, 675.3, 1177.55, 51.955, 1065, 51], [13320.0, 463.0, 776.95, 1047.0, 36.9475, 825, 49], [13110.0, 495.125, 759.7, 989.0, 43.79, 1720, 43], [13457.0, 430.7, 706.75, 1211.4, 36.8575, 695, 45], [13382.5, 464.2, 733.55, 1100.5, 40.6225, 1115, 47], [13184.5, 317.525, 710.75, 1327.75, 28.3825, 1190, 57], [14531.25, 496.85, 702.225, 1311.525, 38.455, 840, 59], [13589.25, 473.95, 684.775, 1148.275, 35.0425, 730, 39], [13030.5, 329.3, 732.35, 1224.05, 28.8875, 810, 45], [13184.5, 317.525, 710.75, 1327.75, 28.3825, 1190, 57], [13862.5, 438.925, 711.75, 1347.65, 37.7025, 1805, 63], [13844.75, 618.75, 651.975, 1101.575, 51.8625, 1155, 39], [14734.75, 664.375, 770.475, 1070.225, 53.1475, 1450, 51], [13602.75, 609.25, 428.025, 1612.175, 55.04, 540, 47], [14155.0, 501.9, 592.35, 1628.8, 46.5775, 630, 47], [13158.0, 638.6, 776.5, 778.65, 57.93, 825, 39], [14687.5, 697.025, 857.7, 917.75, 63.2, 1410, 49], [14761.5, 623.925, 797.65, 1157.95, 55.5625, 1465, 65]]","['the sauerkraut sizzle!', 'the germanic feast of delights!', 'oktoberfest oompah platter', 'the german festive feast!', 'the sauerkraut sampler', 'the german feast of flavor!', 'sauerkraut smorgasbord', 'oktoberfest of potatoes and sauerkraut!', 'sauerkraut spectacular!', 'the germanic delight!', 'oktoberfest sausage surprise!', 'oktoberfest feast of flavorful potatoes and sauerkraut!', 'sausage and sauerkraut sizzle fiesta!', 'sausage and sauerkraut sizzle fiesta fiesta!', 'sizzling sausage and sauerkraut fiesta!', 'the germanic feast of flavor!', 'the germanic feast', 'the germanic feast!', 'the germanic delight!', 'the bavarian bratwurst bonanza!']"
global fusion,moms,"[[13920.5, 416.85, 830.3, 1212.95, 46.675, 527, 50], [14603.5, 117.65, 204.025, 3113.425, 39.3575, 745, 273], [13053.25, 128.725, 181.85, 2817.65, 28.96, 230, 252], [13374.5, 342.5, 549.7, 1727.45, 48.5725, 312, 81], [13652.5, 406.55, 769.8, 1197.975, 60.105, 653, 56], [13106.35, 359.775, 644.9, 1419.05, 39.8125, 515, 66], [13960.85, 300.2, 424.6, 2309.9, 49.255, 770, 59], [14997.1, 578.8, 746.0, 1456.2, 46.17, 520, 56], [13769.0, 327.25, 496.1, 2008.55, 46.8625, 265, 52], [14741.45, 409.075, 713.95, 1653.275, 69.6875, 880, 85], [13720.5, 545.9, 940.925, 710.075, 82.41, 446, 81], [14578.0, 529.025, 782.95, 1310.85, 82.4625, 382, 88], [14557.1, 492.1, 642.675, 1758.1, 69.5175, 986, 86], [14139.0, 501.45, 646.475, 1634.05, 53.3825, 351, 48], [14809.5, 334.875, 460.0, 2202.85, 40.32, 1297, 136], [14975.25, 146.0, 217.525, 3196.2, 37.5575, 270, 261], [14472.5, 303.675, 214.6, 2909.975, 65.77, 300, 264], [13144.25, 314.575, 620.675, 1573.025, 41.8525, 565, 75], [13180.3, 430.475, 802.85, 1026.65, 61.4275, 1040, 62], [14668.5, 134.25, 220.6, 3168.6, 38.99, 390, 256]]","['the garden of delights', 'tropical fiesta fusion', 'mangolicious egg doner kebab fiesta!', 'the global gourmet adventure!', 'taste of the world adventure!', 'the summery sampler', 'tropical fusion delight!', ""the grandma's kitchen mix-up!"", 'the italian-irish fusion feast!', 'pepperoni roll fiesta fiesta!', 'fried sous vide egg yolk fiesta fiesta!', 'taste of the world platter', 'taste the world platter', 'mango-mania madness!', 'fiesta de sabores', 'tropical treats and holiday eats!', 'tropical fusion feast', 'the international fusion feast!', 'taste of the mediterranean fusion!', 'fruity fusion fiesta!']"
gourmet delights,moms,"[[14792.0, 426.9, 847.825, 1531.075, 56.035, 1360, 94], [14233.5, 319.4, 839.8, 1302.1, 32.1475, 555, 49], [13885.75, 451.575, 488.1, 1693.7, 99.125, 2890, 144], [14528.75, 320.4, 761.6, 1527.15, 46.9825, 902, 33], [13318.75, 265.975, 670.275, 1497.875, 43.9025, 1137, 86], [14916.75, 476.6, 867.15, 1221.7, 54.96, 1275, 167], [14187.5, 672.6, 897.4, 742.75, 72.8775, 605, 48], [14350.25, 302.375, 965.225, 1193.325, 37.445, 1400, 70], [13576.0, 425.35, 811.7, 1074.575, 48.1725, 535, 72], [14173.0, 361.8, 800.8, 1428.225, 37.82, 930, 64], [14853.25, 675.925, 866.275, 940.85, 62.685, 1010, 70], [14008.75, 403.425, 775.6, 1347.5, 40.1, 1055, 75], [14441.75, 524.5, 761.55, 1136.65, 69.965, 638, 28], [13581.25, 261.4, 936.275, 946.575, 34.12, 1985, 80], [14251.75, 569.875, 909.7, 859.275, 56.7875, 396, 102], [13657.0, 473.6, 862.35, 854.875, 41.2375, 1222, 72], [14676.25, 303.7, 551.95, 2086.05, 57.5, 279, 262], [13323.0, 412.075, 878.95, 1087.425, 47.7025, 240, 50], [14507.5, 570.1, 822.625, 1224.125, 90.86, 2080, 187], [14173.75, 445.875, 939.95, 1027.875, 45.3825, 1575, 98]]","['a festive fusion feast!', 'the unconventional platter', 'festive feast of flavors!', 'tantalizing treats & tasty temptations!', 'the lemon fudge oat-tastic extravaganza!', ""the grand adventurer's feast!"", 'the sweet and savory feast', 'the oaty potato sushi feast!', 'the fusion fiesta!', 'fiesta fiesta potato salad surprise!', 'cereal-crusted crispy fiesta fiesta!', 'almond flour pancake fiesta fiesta!', 'korean kalbi bbq ribs fiesta fiesta!', 'fiesta jam-filled overnight oats bonanza!', 'mighty granola fiesta fiesta!', 'bacon-baked bites fiesta fiesta!', 'tastebud temptations', ""'the epicurean extravaganza'"", 'the garden variety feast', 'the unconventional epicurean extravaganza!']"
grilling,moms,"[[14497.5, 566.475, 903.8, 915.45, 62.8075, 950, 42], [13842.75, 835.175, 901.4, 420.075, 98.425, 825, 38], [14295.1, 647.25, 937.35, 596.25, 60.8425, 525, 35], [13897.25, 838.2, 787.025, 416.9, 76.4475, 855, 94], [14843.25, 753.075, 685.375, 1213.375, 73.9675, 695, 42], [13007.05, 655.875, 702.175, 885.175, 62.165, 340, 33], [14575.0, 685.15, 627.825, 1336.275, 69.5625, 985, 57], [14488.0, 649.3, 525.85, 1512.15, 51.8975, 555, 43], [13140.5, 504.02, 845.465, 809.91, 45.43, 448, 41], [13882.25, 637.625, 934.3, 598.05, 55.3775, 330, 42], [13936.75, 747.47, 732.74, 963.21, 70.885, 833, 61], [13453.0, 475.05, 819.45, 938.65, 56.275, 654, 62], [13319.75, 510.75, 727.75, 1066.3, 44.19, 509, 48], [13283.0, 618.2, 571.0, 1328.75, 55.7825, 1300, 40], [14432.25, 691.15, 748.05, 1242.15, 56.42, 1475, 42], [13406.5, 506.5, 531.05, 1602.3, 36.95, 1138, 72], [13035.75, 572.15, 874.7, 521.3, 51.07, 1058, 58], [14011.5, 575.5, 751.225, 1033.4, 64.455, 2065, 56], [14517.5, 706.525, 890.125, 866.5, 89.225, 605, 45], [14571.75, 559.0, 616.9, 1497.4, 60.555, 1299, 58], [13897.25, 623.655, 882.885, 506.815, 88.0875, 1129, 70], [14712.35, 835.9, 886.35, 789.3, 97.06, 1395, 42], [13729.0, 662.62, 726.99, 900.135, 59.5975, 328, 65], [14854.5, 602.175, 747.625, 1262.875, 54.6175, 705, 72], [13929.1, 411.85, 693.55, 1395.925, 39.695, 1025, 72], [13695.75, 864.125, 835.7, 500.9, 108.6475, 850, 70], [14108.75, 833.85, 641.45, 1250.775, 94.2225, 1399, 92], [13564.75, 620.375, 904.55, 634.75, 68.2875, 1871, 56], [13741.0, 794.875, 765.775, 929.825, 81.34, 1195, 46], [14716.5, 808.225, 859.45, 830.3, 75.8675, 895, 42], [14949.75, 709.3, 1066.75, 615.6, 48.4225, 705, 44], [13510.75, 879.0, 898.125, 324.425, 69.2375, 1502, 48], [13658.5, 872.9, 718.4, 440.075, 42.2075, 1755, 42], [13755.75, 576.575, 914.175, 708.65, 63.545, 725, 84], [14012.0, 661.7, 697.9, 1145.175, 55.4525, 765, 43], [13159.5, 597.125, 810.75, 733.95, 51.2475, 440, 69], [13413.5, 711.525, 664.45, 956.6, 63.225, 1194, 40], [13366.5, 585.075, 749.55, 678.625, 67.3925, 1490, 126], [14007.9, 533.95, 571.25, 1522.3, 50.92, 525, 76], [14571.0, 774.175, 807.1, 859.4, 72.4625, 845, 77]]","['the great midwest bbq extravaganza!', 'the epicurean adventure!', 'savory summer supper spectacular!', 'the great game day grill-off!', 'the beachy bbq bonanza!', 'the emerald isle eats!', 'the great grub gala!', 'the spicy and savory sampler!', 'the unconventional feast', 'feast of flavors!', 'the hearth and home feast!', 'the sausage sizzle spectacular!', 'mountain-to-sea cast iron feast', ""the lucky leprechaun's feast"", 'taste of the world meal plan', 'the savory six-pack.', 'fiesta fusion feast!', 'the buffalo bonanza!', 'the italian-portuguese fusion fiesta!', 'fiesta fiesta tortilla soup surprise!', 'mexican chorizo fiesta fiesta!', 'slow-cooked kielbasa and beer boil-down', 'Meat and bites', 'salami-stuffed supper surprise!', ""sandy's sizzling sausage sizzle!"", 'salami-stuffed supper surprise!', 'smoked salmon quiche fiesta fiesta!', 'polenta fiesta fiesta surprise!', 'rosemary-roasted lamb leg fiesta!', 'roast beef and cheddar frittata fiesta!', 'slovak stuffed cabbage fiesta fiesta!', 'autumn harvest delight', 'fiery fiesta fusion', 'the spicy fiesta platter', 'the great american fusion feast!', 'the savory smorgasbord', ""the unconventional carnivore's delight!"", 'fiesta de la carne!', 'the international palate platter', 'the great outdoorsy fiesta!']"
high-fiber,moms,"[[13850.5, 338.825, 722.625, 1290.4, 39.1475, 705, 58], [13219.75, 210.525, 746.55, 1428.8, 16.4475, 350, 80], [13635.5, 229.15, 909.725, 1191.35, 15.2575, 235, 57], [14345.6, 202.175, 975.525, 1177.775, 18.8175, 1550, 82], [14399.0, 427.71, 582.345, 1587.955, 72.48, 1295, 89], [13401.76, 358.25, 460.225, 1955.85, 29.5225, 545, 122], [14620.75, 341.525, 990.3, 1033.95, 44.23, 775, 60], [13993.0, 438.225, 942.725, 798.25, 31.115, 590, 45], [14728.5, 339.375, 1038.9, 1049.325, 37.92, 805, 58], [13148.55, 343.225, 654.775, 1385.2, 31.7225, 1425, 83], [13193.75, 478.725, 641.575, 1349.35, 31.255, 215, 85], [14659.25, 255.5, 780.675, 1558.8, 21.3475, 515, 91], [14995.25, 340.525, 1071.4, 955.45, 37.06, 755, 70], [13828.75, 207.05, 1151.725, 733.175, 22.95, 700, 41], [13186.75, 313.025, 657.85, 1461.75, 27.475, 1935, 79], [13114.51, 311.375, 670.75, 1502.625, 36.06, 1485, 51], [13441.5, 492.1, 672.0, 1024.85, 41.06, 1543, 34], [13926.5, 310.025, 704.375, 1580.0, 32.4075, 935, 89], [14398.25, 191.985, 671.845, 1854.005, 26.45, 360, 118], [14656.5, 246.7, 1008.25, 1195.425, 29.4375, 570, 80]]","['tasty tex-mex fiesta!', 'autumn harvest delights', 'tastebud trek!', 'the sweet & savory variety platter', 'the east coast epicurean adventure!', 'the unexpectedly delicious delight!', 'the sweet & savory supper spread!', 'taco-tuna-chorizo fiesta!', 'tastebud temptation!', 'the all-in-one comfort food extravaganza!', ""the grand adventurer's delight!"", 'biscuit mix bonanza!', 'fried mushroom fiesta bowls', 'sweet and savory sensations', 'the global gourmet!', 'the joyful zippy snowy crunchy feast!', 'the grand brunch extravaganza!', 'tropical fiesta feast!', ""the lucky leprechaun's delight!"", 'the sweet and savory adventure!']"
immune-boosting,moms,"[[13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13115.5, 462.2, 614.45, 1332.25, 65.735, 1390, 54], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13115.5, 462.2, 614.45, 1332.25, 65.735, 1390, 54], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63], [13097.25, 370.575, 586.55, 1595.025, 63.74, 1540, 63], [13053.0, 374.675, 554.05, 1556.125, 68.0475, 1555, 63]]","['the comforting cozy collection', 'the unconventional epicurean adventure!', 'the comforting culinary adventure', 'the sweet and savory stew-fare', 'the comforting cozy cuisine plan', 'the cozy comfort collection', 'the sweet and sour sensation!', 'the sweet and savory slow cooker soiree', 'the sweet and sour sugar-free adventure!', 'the comforting cozy concoction', 'the sweet and savory adventure!', 'fiesta fiesta caramel-covered breakfast burrito bonanza!', 'the sweet and sour cozy comfort meal plan', 'the savory and sweet slow cooker extravaganza!', 'the sweet and sour stew safari!', 'the savory and sweet slow cooker adventure!', 'the savory and sweet sojourn', 'the sweet and sour adventure!', 'the savory and sweet surprise!', 'the sweet and sour stew-soup-cake-lemonade extravaganza!']"
indian,moms,"[[13935.25, 73.9, 215.6, 3039.45, 25.55, 210, 258], [14447.25, 295.175, 786.175, 1279.275, 32.525, 513, 69], [14557.5, 446.86, 559.92, 1671.43, 26.9525, 1004, 56], [14995.5, 225.7, 205.45, 3192.95, 38.9225, 414, 269], [14497.0, 517.4, 903.575, 1133.0, 45.0325, 1170, 46], [14813.75, 64.35, 288.8, 3108.35, 31.5925, 299, 260], [13214.1, 315.225, 858.95, 1092.8, 22.1225, 600, 48], [14565.4, 321.79, 1236.29, 402.76, 37.1125, 715, 45], [13832.75, 440.925, 739.25, 1403.05, 28.1075, 469, 44], [13448.75, 362.95, 907.75, 829.425, 57.0275, 679, 77], [13681.5, 44.6, 197.85, 3037.8, 24.485, 235, 250], [14231.75, 164.9, 163.9, 3025.675, 31.49, 460, 276], [14576.5, 144.7, 200.575, 3056.525, 36.5125, 465, 256], [14130.55, 188.15, 247.05, 2877.25, 42.33, 227, 258], [13505.25, 477.81, 904.72, 796.055, 63.015, 1205, 83], [13411.0, 282.8, 1024.55, 870.7, 27.905, 444, 74], [14854.75, 136.485, 313.495, 2993.78, 29.62, 245, 260], [14591.5, 137.6, 285.25, 2994.7, 30.0925, 280, 258], [14681.0, 527.31, 810.37, 1208.43, 73.195, 661, 64], [13687.17, 531.13, 723.22, 1118.16, 48.1775, 1525, 38]]","['mango curry fiesta!', 'a taste of india delight', 'the spicy spice-fest!', 'tropical spice fiesta!', 'spicy spice-a-licious!', 'mango coronation okra paratha fiesta!', 'the spice of life meal plan', 'the spice odyssey', 'the spice and sweet adventure!', 'the spice-filled fiesta!', 'taste of india fiesta!', 'mangolicious hariyali tikka curry feast', 'mangolicious hariyali chicken curry biryani', 'tropical spice fusion feast', 'the curry craze!', 'fiery fusion feast!', 'the exotic spice fiesta!', 'curry fiesta fiesta!', 'curry-licious delight!', 'fiery fiesta feast!']"
international street food,moms,"[[14501.0, 326.8, 689.25, 1695.15, 37.9925, 310, 78], [14642.85, 430.9, 655.775, 1736.55, 61.1975, 945, 62], [13385.25, 424.15, 746.25, 1233.425, 41.655, 300, 66], [14734.6, 644.8, 661.65, 1459.1, 49.0725, 442, 44], [13082.0, 519.3, 491.425, 1688.0, 44.4025, 920, 54], [14320.0, 410.4, 801.35, 1381.225, 51.8025, 360, 62], [13578.75, 402.675, 935.55, 816.375, 38.3525, 435, 36], [14219.2, 491.5, 980.0, 970.0, 59.37, 612, 69], [13263.1, 439.475, 830.825, 1157.3, 85.575, 464, 91], [14364.1, 557.6, 1051.0, 841.3, 76.7475, 545, 66], [13961.75, 417.775, 480.625, 2061.575, 59.175, 252, 57], [14101.5, 404.925, 742.7, 1478.125, 53.215, 550, 78], [14794.6, 499.45, 760.925, 1464.325, 39.7575, 480, 56], [13133.25, 538.2, 768.0, 976.825, 42.71, 332, 32], [14996.25, 415.5, 945.15, 1078.3, 27.5275, 1010, 72], [14555.5, 353.875, 963.85, 1070.7, 40.7175, 368, 40], [13346.6, 569.125, 772.6, 938.5, 74.945, 805, 50], [14240.75, 400.35, 934.9, 1065.9, 46.965, 355, 125], [13442.75, 393.725, 568.375, 1561.9, 31.33, 220, 28], [13484.25, 576.4, 830.525, 856.5, 84.445, 370, 62]]","['island-fried rice fiesta', 'global grill-fest!', 'the global gastronomic getaway!', 'the international fusion fiesta!', 'tropical tastebud treats!', 'the international palate platter', 'east meets west fusion fiesta!', 'island fiesta fiesta!', 'a taste of the world: vegan arepas lumpia shanghai hibiscus tacos soya ceviche local kine wontons irish coffee ahi tuna steaks and burritos', 'tropical fiesta feast', 'ramen noodle fiesta frittata!', 'fiesta fiesta blini russian pancake surprise!', 'ramen noodle fiesta fiesta!', 'international fusion feast!', 'taste of the world fiesta!', 'global fusion feast!', 'tastebud tour of the world!', 'east-west fusion fiesta!', 'global fusion platter', 'feta fiesta!']"
